"annee_sortieID","annee_sortie"
"1",NULL
"2","0"
"3","1915"
"4","1919"
"5","1921"
"6","1922"
"7","1923"
"8","1924"
"9","1925"
"10","1926"
"11","1927"
"12","1928"
"13","1930"
"14","1931"
"15","1932"
"16","1933"
"17","1934"
"18","1935"
"19","1936"
"20","1937"
"21","1938"
"22","1939"
"23","1940"
"24","1941"
"25","1942"
"26","1943"
"27","1944"
"28","1945"
"29","1946"
"30","1947"
"31","1948"
"32","1949"
"33","1950"
"34","1951"
"35","1952"
"36","1953"
"37","1954"
"38","1955"
"39","1956"
"40","1957"
"41","1958"
"42","1959"
"43","1960"
"44","1961"
"45","1962"
"46","1963"
"47","1964"
"48","1965"
"49","1966"
"50","1967"
"51","1968"
"52","1969"
"53","1970"
"54","1971"
"55","1972"
"56","1973"
"57","1974"
"58","1975"
"59","1976"
"60","1977"
"61","1978"
"62","1979"
"63","1980"
"64","1981"
"65","1982"
"66","1983"
"67","1984"
"68","1985"
"69","1986"
"70","1987"
"71","1988"
"72","1989"
"73","1990"
"74","1991"
"75","1992"
"76","1993"
"77","1994"
"78","1995"
"79","1996"
"80","1997"
"81","1998"
"82","1999"
"83","2000"
"84","2001"
"85","2002"
"86","2003"
"87","2004"
"88","2005"
"89","2006"
"90","2007"
"91","2008"
"92","2009"
"93","2010"
"94","2011"
"95","2012"
"96","2013"
"97","2014"
"98","2015"
"99","2016"
"100","2017"
