"id","acteursID","id_allocine"
"1","1","1628"
"2","1","1627"
"3","2","115362"
"4","2","132874"
"5","2","51013"
"6","3","9393"
"7","4","10126"
"8","5","39187"
"9","5","39186"
"10","5","27070"
"11","6","19395"
"12","6","929"
"13","6","7663"
"14","6","135063"
"15","6","56714"
"16","7","21189"
"17","7","60208"
"18","7","13892"
"19","8","10568"
"20","8","18598"
"21","8","22779"
"22","9","25802"
"23","9","25803"
"24","9","25801"
"25","10","143692"
"26","10","127524"
"27","10","132039"
"28","10","55983"
"29","10","35973"
"30","11","2072"
"31","12","5969"
"32","13","19776"
"33","14","245046"
"34","15","6641"
"35","15","180"
"36","16","5762"
"37","16","980"
"38","16","983"
"39","17","12837"
"40","18","1453"
"41","19","37485"
"42","20","12475"
"43","21","114782"
"44","22","1603"
"45","23","2645"
"46","23","1809"
"47","23","7158"
"48","24","182745"
"49","25","1832"
"50","25","2253"
"51","25","2255"
"52","25","2256"
"53","25","2260"
"54","26","121"
"55","26","1975"
"56","26","5032"
"57","27","28359"
"58","28","7124"
"59","28","309"
"60","29","448"
"61","30","225953"
"62","31","24944"
"63","31","28384"
"64","32","108998"
"65","32","225116"
"66","32","180887"
"67","33","10862"
"68","34","25744"
"69","35","27061"
"70","36","680"
"71","37","213698"
"72","38","10251"
"73","39","4499"
"74","40","190918"
"75","41","863"
"76","41","2604"
"77","42","123734"
"78","43","197686"
"79","43","229490"
"80","44","21946"
"81","44","12032"
"82","45","54137"
"83","46","2167"
"84","46","62"
"85","47","251273"
"86","47","147116"
"87","47","176535"
"88","47","234256"
"89","48","4616"
"90","49","857"
"91","49","1826"
"92","50","531"
"93","51","10080"
"94","52","7524"
"95","53","418"
"96","54","252439"
"97","55","4749"
"98","56","105"
"99","57","67"
"100","58","40191"
"101","58","18671"
"102","58","15829"
"103","59","308"
"104","59","950"
"105","59","14178"
"106","59","29714"
"107","60","42792"
"108","60","37412"
"109","61","2749"
"110","62","5120"
"111","63","14264"
"112","64","33353"
"113","64","40646"
"114","64","559"
"115","65","126123"
"116","66","240850"
"117","67","2570"
"118","68","363"
"119","69","3243"
"120","70","227932"
"121","71","240"
"122","73","33286"
"123","74","190774"
"124","75","26186"
"125","76","58349"
"126","77","14046"
"127","77","1621"
"128","77","28201"
"129","78","14824"
"130","79","41569"
"131","80","57689"
"132","81","14790"
"133","82","45970"
"134","83","7545"
"135","84","171223"
"136","84","221270"
"137","85","196960"
"138","86","227079"
"139","87","19298"
"140","87","26251"
"141","88","58911"
"142","89","4032"
"143","90","138673"
"144","91","14788"
"145","92","27782"
"146","93","115"
"147","94","14928"
"148","95","1048"
"149","96","110096"
"150","97","16463"
"151","98","17646"
"152","99","29057"
"153","100","986"
"154","101","109788"
"155","101","9430"
"156","102","2688"
"157","103","3984"
"158","104","259498"
"159","105","109576"
"160","106","222528"
"161","107","264"
"162","108","139621"
"163","109","217882"
"164","110","110101"
"165","111","1557"
"166","112","249"
"167","112","248"
"168","113","223252"
"169","113","195370"
"170","114","29700"
"171","115","2513"
"172","116","46077"
"173","117","1532"
"174","117","299"
"175","118","207825"
"176","119","62178"
"177","120","55483"
"178","121","196885"
"179","122","125054"
"180","123","222271"
"181","124","702"
"182","125","26066"
"183","126","128959"
"184","127","3326"
"185","128","38493"
"186","129","4479"
"187","130","71577"
"188","130","135"
"189","131","134925"
"190","132","28251"
"191","133","3732"
"192","134","2596"
"193","135","34193"
"194","136","26862"
"195","137","88"
"196","138","59809"
"197","139","29738"
"198","140","337"
"199","141","12789"
"200","142","51123"
"201","142","26389"
"202","143","176673"
"203","144","263"
"204","145","243823"
"205","146","26602"
"206","147","179349"
"207","148","4397"
"208","148","548"
"209","149","8066"
"210","150","228558"
"211","151","261469"
"212","152","11736"
"213","153","4063"
"214","153","2021"
"215","153","1268"
"216","154","297"
"217","154","773"
"218","155","45264"
"219","156","127650"
"220","157","836"
"221","158","4989"
"222","159","73176"
"223","160","4884"
"224","161","1941"
"225","162","27063"
"226","163","260"
"227","164","27442"
"228","165","2252"
"229","166","253743"
"230","167","1596"
"231","168","111471"
"232","169","130368"
"233","170","4019"
"234","170","22092"
"235","170","29757"
"236","171","38827"
"237","172","1602"
"238","173","2640"
"239","174","108016"
"240","175","700"
"241","176","88396"
"242","177","40132"
"243","178","215097"
"244","179","25308"
"245","180","5280"
"246","181","46117"
"247","182","8488"
"248","183","28541"
"249","184","89957"
"250","185","772"
"251","186","12551"
"252","187","111643"
"253","188","50409"
"254","189","9684"
"255","190","228263"
"256","191","2495"
"257","192","108917"
"258","193","43986"
"259","194","52715"
"260","195","29718"
"261","196","13665"
"262","197","89979"
