"id","annee","filmID"
"1","1972","1"
"2","2008","2"
"3","1994","3"
"4","1994","4"
"5","2003","5"
"6","1968","6"
"7","1999","7"
"8","1994","8"
"9","1980","9"
"10","2010","10"
"11","2002","11"
"12","1976","12"
"13","1990","13"
"14","1999","14"
"15","2018","15"
"16","1991","16"
"17","1947","17"
"18","1995","18"
"19","2018","19"
"20","1998","20"
"21","2002","21"
"22","1999","22"
"23","2014","23"
"24","2000","24"
"25","1960","25"
"26","1947","26"
"27","2011","27"
"28","1936","28"
"29","1981","29"
"30","2002","30"
"31","1991","31"
"32","1985","32"
"33","2014","33"
"34","2000","34"
"35","2006","35"
"36","1994","36"
"37","2000","37"
"38","1979","38"
"39","1945","39"
"40","1964","40"
"41","2014","41"
"42","1996","42"
"43","1975","43"
"44","2013","44"
"45","1980","45"
"46","2008","46"
"47","2017","47"
"48","2000","48"
"49","2012","49"
"50","2004","50"
"51","1986","51"
"52","1982","53"
"53","2002","54"
"54","1959","55"
"55","1959","56"
"56","1983","57"
"57","1995","58"
"58","1992","59"
"59","1932","60"
"60","2018","62"
"61","1963","63"
"62","2018","64"
"63","1984","65"
"64","2004","66"
"65","1976","67"
"66","2017","68"
"67","1987","69"
"68","0","70"
"69","1996","71"
"70","2009","72"
"71","1974","73"
"72","2010","74"
"73","2009","75"
"74","2017","76"
"75","1949","77"
"76","0","78"
"77","1998","79"
"78","2013","80"
"79","0","81"
"80","1997","82"
"81","2018","83"
"82","1927","84"
"83","2015","85"
"84","1984","86"
"85","2012","87"
"86","2005","88"
"87","1959","89"
"88","1992","90"
"89","2005","91"
"90","1981","92"
"91","1996","93"
"92","2000","94"
"93","2018","95"
"94","1974","96"
"95","2006","97"
"96","2002","98"
"97","2016","99"
"98","1961","100"
"99","2010","101"
"100","2015","102"
"101","1955","103"
"102","2018","104"
"103","1998","105"
"104","1996","106"
"105","1982","107"
"106","1980","108"
"107","2006","109"
"108","1957","110"
"109","2013","111"
"110","2011","112"
"111","1996","113"
"112","2009","114"
"113","1950","115"
"114","1928","116"
"115","1979","117"
"116","1996","118"
"117","1982","119"
"118","2008","120"
"119","1998","121"
"120","1998","122"
"121","2003","123"
"122","2013","124"
"123","2008","125"
"124","1967","126"
"125","1947","128"
"126","2018","129"
"127","2013","131"
"128","2017","132"
"129","1928","133"
"130","2009","134"
"131","2014","135"
"132","2010","136"
"133","2008","137"
"134","1934","138"
"135","1980","139"
"136","2017","140"
"137","2015","141"
"138","2017","142"
"139","1987","143"
"140","1953","144"
"141","1977","145"
"142","2013","147"
"143","0","148"
"144","2014","149"
"145","1959","150"
"146","2004","151"
"147","2014","152"
"148","2015","153"
"149","2005","154"
"150","2016","155"
"151","2017","156"
"152","1970","157"
"153","2000","158"
"154","2010","159"
"155","1946","160"
"156","1988","161"
"157","1995","162"
"158","0","163"
"159","1973","164"
"160","2013","165"
"161","2011","166"
"162","1977","167"
"163","1955","168"
"164","1983","169"
"165","2002","170"
"166","2002","171"
"167","1976","172"
"168","2018","173"
"169","1985","174"
"170","2007","175"
"171","1946","176"
"172","1963","177"
"173","1975","178"
"174","2004","179"
"175","2011","180"
"176","1984","181"
"177","2018","182"
"178","2000","183"
"179","2001","186"
"180","2011","187"
"181","1967","188"
"182","1998","189"
"183","1958","190"
"184","1993","191"
"185","2002","192"
"186","2018","193"
"187","2018","194"
"188","1995","195"
"189","1957","196"
"190","2001","197"
"191","2013","198"
"192","1977","199"
"193","2003","200"
"194","2007","201"
"195","1969","202"
"196","1931","203"
"197","2006","204"
"198","1979","205"
"199","1951","206"
"200","1989","207"
"201","2000","208"
"202","2003","209"
"203","1984","210"
"204","2001","211"
"205","1972","212"
"206","1968","213"
"207","1975","214"
"208","0","215"
"209","1989","217"
"210","0","218"
"211","2006","219"
"212","2009","220"
"213","1988","222"
"214","0","223"
"215","1963","224"
"216","1925","225"
"217","1957","226"
"218","1957","227"
"219","1940","228"
"220","2017","229"
"221","1955","230"
"222","2000","231"
"223","2017","232"
"224","1994","233"
"225","2006","234"
"226","1947","235"
"227","2015","236"
"228","2002","237"
"229","1996","238"
"230","1990","239"
"231","1976","240"
"232","2003","241"
"233","2003","242"
"234","1955","243"
"235","1993","244"
"236","2003","245"
"237","1946","247"
"238","1995","248"
"239","2007","249"
"240","2005","250"
"241","1975","251"
"242","1994","252"
"243","1952","253"
"244","2016","254"
"245","1996","255"
"246","2000","256"
"247","1987","257"
"248","2007","258"
"249","2002","259"
"250","0","260"
"251","2003","261"
"252","1982","262"
"253","1996","263"
"254","1995","264"
"255","1926","265"
