"id","duree","id_allocine"
"1","10500","1628"
"2","8820","115362"
"3","11700","9393"
"4","8940","10126"
"5","12000","39187"
"6","10800","19395"
"7","8340","21189"
"8","8400","10568"
"9","7440","25802"
"10","8880","143692"
"11","10680","39186"
"12","7740","2072"
"13","8700","5969"
"14","8100","19776"
"15","6420","245046"
"16","7080","6641"
"17","7740","5762"
"18","6360","12837"
"19","7800","1453"
"20","9780","18598"
"21","7500","37485"
"22","7140","12475"
"23","10140","114782"
"24","11340","22779"
"25","6540","1603"
"26","6120","2645"
"27","6720","182745"
"28","4980","1832"
"29","6960","121"
"30","8880","28359"
"31","8100","7124"
"32","6960","448"
"33","6420","225953"
"34","9300","24944"
"35","7680","108998"
"36","5340","10862"
"37","6960","25744"
"38","12120","27061"
"39","7560","2253"
"40","5700","680"
"41","5700","213698"
"42","5400","10251"
"43","5280","4499"
"44","9840","190918"
"45","8760","863"
"46","5820","123734"
"47","9840","197686"
"48","7320","21946"
"49","9840","132874"
"50","7140","54137"
"51","8220","2167"
"52","10140","251273"
"53","12600","4616"
"54","7140","857"
"55","7740","980"
"56","8160","531"
"57","7980","25803"
"58","9900","10080"
"59","5940","7524"
"60","6720","418"
"61","10500","147116"
"62","7980","252439"
"63","12960","4749"
"64","6420","105"
"65","10800","67"
"66","6480","40191"
"67","6900","308"
"68","7740","42792"
"69","6960","2749"
"70","6120","5120"
"71","4620","14264"
"72","10200","176535"
"73","7740","33353"
"74","6000","126123"
"75","9180","60208"
"76","6420","240850"
"77","5580","2570"
"78","3000","2255"
"79","7560","363"
"80","5460","3243"
"81","7800","929"
"82","8280","12032"
"83","9180","240"
"84","6300","231088"
"85","5160","33286"
"86","5820","190774"
"87","8340","51013"
"88","7260","26186"
"89","7860","7663"
"90","9000","58349"
"91","7740","950"
"92","10200","14046"
"93","5400","14824"
"94","5400","41569"
"95","7800","2604"
"96","6720","57689"
"97","5220","14790"
"98","9720","45970"
"99","11160","7545"
"100","7740","171223"
"101","5700","196960"
"102","6360","1627"
"103","6240","227079"
"104","6360","19298"
"105","10680","14178"
"106","7020","1975"
"107","7500","180"
"108","7800","58911"
"109","5520","4032"
"110","10740","127524"
"111","8400","138673"
"112","5580","14788"
"113","6660","135063"
"114","14280","27782"
"115","5820","115"
"116","10980","29714"
"117","5820","14928"
"118","6480","1048"
"119","7320","110096"
"120","7020","16463"
"121","7260","17646"
"122","6060","29057"
"123","8160","986"
"124","9480","109788"
"125","7560","40646"
"126","8400","2688"
"127","7800","3984"
"128","2580","222528"
"129","7680","229490"
"130","6600","264"
"131","5520","139621"
"132","8940","217882"
"133","8220","132039"
"134","8820","110101"
"135","6300","1557"
"136","5580","249"
"137","8220","225116"
"138","7320","221270"
"139","7860","223252"
"140","7200","29700"
"141","9060","2513"
"142","7200","46077"
"143","7380","195370"
"144","12720","1532"
"145","6000","207825"
"146","5580","62178"
"147","7800","55483"
"148","7980","196885"
"149","7200","125054"
"150","7920","56714"
"151","7680","222271"
"152","9780","702"
"153","6600","559"
"154","9180","26066"
"155","5580","128959"
"156","6000","1809"
"157","5880","3326"
"158","6060","38493"
"159","6900","4479"
"160","6120","71577"
"161","9180","180887"
"162","7800","134925"
"163","7140","28251"
"164","6840","3732"
"165","11400","2596"
"166","6240","34193"
"167","5520","26862"
"168","11220","135"
"169","5580","88"
"170","6480","309"
"171","6960","59809"
"172","6060","29738"
"173","8280","337"
"174","7440","12789"
"175","5820","51123"
"176","8760","176673"
"177","8820","263"
"178","5820","243823"
"179","5880","26389"
"180","3120","126071"
"181","6600","26602"
"182","7380","179349"
"183","5040","4397"
"184","6180","18671"
"185","5700","299"
"186","6060","8066"
"187","8040","28384"
"188","5340","261469"
"189","8400","11736"
"190","5700","4063"
"191","9900","27070"
"192","12420","297"
"193","7260","25801"
"194","8100","45264"
"195","5100","127650"
"196","10500","2021"
"197","5400","2256"
"198","9000","55983"
"199","6960","62"
"200","6600","836"
"201","7440","4989"
"202","8100","73176"
"203","6960","4884"
"204","15060","1941"
"205","7200","27063"
"206","8160","260"
"207","8460","27442"
"208","5400","248"
"209","7500","2252"
"210","7620","5032"
"211","7800","1596"
"212","0","111471"
"213","5700","130368"
"214","7560","7158"
"215","7560","4019"
"216","6240","1826"
"217","10140","38827"
"218","5760","2260"
"219","9660","1602"
"220","5760","548"
"221","7500","2640"
"222","5340","108016"
"223","6300","700"
"224","6420","22092"
"225","9000","88396"
"226","7980","9430"
"227","6960","40132"
"228","7680","1268"
"229","8100","215097"
"230","10320","25308"
"231","7800","29757"
"232","7680","5280"
"233","7800","1621"
"234","8580","46117"
"235","8460","35973"
"236","6600","983"
"237","7320","8488"
"238","6720","28541"
"239","7260","89957"
"240","5760","772"
"241","5700","12551"
"242","8220","111643"
"243","7140","50409"
"244","12000","28201"
"245","6180","9684"
"246","5280","773"
"247","7080","228263"
"248","7800","13892"
"249","6180","26251"
"250","5100","2495"
"251","7200","108917"
"252","5400","43986"
"253","9480","37412"
"254","7080","52715"
"255","7200","29718"
"256","5700","15829"
"257","7800","13665"
"258","4320","89979"
