"id","realisateur","id_allocine"
"1","Francis Ford Coppola","1628"
"2","Christopher Nolan","115362"
"3","Steven Spielberg","9393"
"4","Quentin Tarantino","10126"
"5","Peter Jackson","39187"
"6","Sergio Leone","19395"
"7","David Fincher","21189"
"8","Robert Zemeckis","10568"
"9","Irvin Kershner","25802"
"10","Christopher Nolan","143692"
"11","Peter Jackson","39186"
"12","Milos Forman","2072"
"13","Martin Scorsese","5969"
"14","Lana Wachowski, Lilly Wachowski","19776"
"15","José Padilha","245046"
"16","Jonathan Demme","6641"
"17","Frank Capra","5762"
"18","Bryan Singer","12837"
"19","Sidney Lumet","1453"
"20","Steven Spielberg","18598"
"21","Hayao Miyazaki","37485"
"22","Tony Kaye","12475"
"23","Christopher Nolan","114782"
"24","Frank Darabont","22779"
"25","Alfred Hitchcock","1603"
"26","Michael Curtiz","2645"
"27","Eric Toledano, Olivier Nakache","182745"
"28","Charles Chaplin","1832"
"29","Steven Spielberg","121"
"30","Roman Polanski","28359"
"31","James Cameron","7124"
"32","Robert Zemeckis","448"
"33","Damien Chazelle","225953"
"34","Ridley Scott","24944"
"35","Christopher Nolan","108998"
"36","Roger Allers, Rob Minkoff","10862"
"37","Christopher Nolan","25744"
"38","Francis Ford Coppola","27061"
"39","Charles Chaplin","2253"
"40","Stanley Kubrick","680"
"41","Emmanuel Mouret","213698"
"42","Isao Takahata","10251"
"43","Stanley Kubrick","4499"
"44","Quentin Tarantino","190918"
"45","Stanley Kubrick","863"
"46","Andrew Stanton","123734"
"47","Denis Villeneuve","197686"
"48","Sam Mendes","21946"
"49","Christopher Nolan","132874"
"50","Park Chan-Wook","54137"
"51","James Cameron","2167"
"52","Nitesh Tiwari","251273"
"53","Wolfgang Petersen","4616"
"54","Orson Welles","857"
"55","Alfred Hitchcock","980"
"56","Alfred Hitchcock","531"
"57","Richard Marquand","25803"
"58","Mel Gibson","10080"
"59","Quentin Tarantino","7524"
"60","Fritz Lang","418"
"61","Aamir Khan","147116"
"62","Luca Guadagnino","252439"
"63","David Lean","4749"
"64","Billy Wilder","105"
"65","Milos Forman","67"
"66","Michel Gondry","40191"
"67","Martin Scorsese","308"
"68","Robert Mulligan","42792"
"69","Stanley Kubrick","2749"
"70","Stanley Donen, Gene Kelly","5120"
"71","John Lasseter","14264"
"72","Rajkumar Hirani","176535"
"73","George Roy Hill","33353"
"74","Lee Unkrich","126123"
"75","Quentin Tarantino","60208"
"76","Christopher Nolan","240850"
"77","Vittorio De Sica","2570"
"78","Charles Chaplin","2255"
"79","Gus Van Sant","363"
"80","Carlos Saura","3243"
"81","Sergio Leone","929"
"82","Curtis Hanson","12032"
"83","Fritz Lang","240"
"84","Müret Isitmez","231088"
"85","François Leterrier","33286"
"86","Ursula Meier","190774"
"87","Christopher Nolan","51013"
"88","Billy Wilder","26186"
"89","Clint Eastwood","7663"
"90","Oliver Hirschbiegel","58349"
"91","Martin Scorsese","950"
"92","Michael Mann","14046"
"93","Majid Majidi","14824"
"94","Anna Karina","41569"
"95","Roman Polanski","2604"
"96","Guillermo del Toro","57689"
"97","Hayao Miyazaki","14790"
"98","Akira Kurosawa","45970"
"99","Stanley Kramer","7545"
"100","Juan José Campanella","171223"
"101","Pete Docter","196960"
"102","Elia Kazan","1627"
"103","James Franco","227079"
"104","Guy Ritchie","19298"
"105","Martin Scorsese","14178"
"106","Ridley Scott","1975"
"107","David Lynch","180"
"108","James McTeigue","58911"
"109","Ingmar Bergman","4032"
"110","Martin Scorsese","127524"
"111","Gavin O'Connor","138673"
"112","Danny Boyle","14788"
"113","Clint Eastwood","135063"
"114","Victor Fleming","27782"
"115","Friedrich Wilhelm Murnau, William Fox (II)","115"
"116","Michael Cimino","29714"
"117","Joel Coen, Ethan Coen","14928"
"118","John Carpenter","1048"
"119","Joel Coen, Ethan Coen","110096"
"120","Joel Coen, Ethan Coen","16463"
"121","Yavuz Turgul","17646"
"122","Andrew Stanton, Lee Unkrich","29057"
"123","Yasujirô Ozu","986"
"124","Paul Thomas Anderson","109788"
"125","Stuart Rosenberg","40646"
"126","Elem Klimov","2688"
"127","Alfred Hitchcock","3984"
"128","Jérémie Guez","259498"
"129","Rakeysh Omprakash Mehra, Rakesh Mehra","109576"
"130","Marc Fafard","222528"
"131","Damien Chazelle","229490"
"132","Carl Theodor Dreyer","264"
"133","Adam Elliot","139621"
"134","David Fincher","217882"
"135","Martin Scorsese","132039"
"136","Sean Penn","110101"
"137","Frank Capra","1557"
"138","Terry Jones","249"
"139","James Mangold","225116"
"140","Damián Szifron","221270"
"141","Taika Waititi","223252"
"142","Oliver Stone","29700"
"143","Henri-Georges Clouzot","2513"
"144","Sidney Lumet","46077"
"145","Juan Carlos Fresnadillo","181037"
"146","Ron Howard","195370"
"147","William Wyler","1532"
"148","Wes Anderson","207825"
"149","François Truffaut","62178"
"150","Joon-Ho Bong","55483"
"151","Steve McQueen (II)","196885"
"152","George Miller","125054"
"153","Clint Eastwood","56714"
"154","Tom McCarthy","222271"
"155","Andreï Tarkovski","702"
"156","George Roy Hill","559"
"157","Alejandro González Iñárritu","26066"
"158","Lasse Hallström","128959"
"159","John Huston","1809"
"160","Rob Reiner","3326"
"161","Richard Linklater","38493"
"162","Federico Fellini","4479"
"163","Peter Bogdanovich","71577"
"164","Denis Villeneuve","180887"
"165","David Yates","134925"
"166","John G. Avildsen","28251"
"167","Henri-Georges Clouzot","3732"
"168","Richard Attenborough","2596"
"169","Richard Kelly","34193"
"170","Pete Docter, David Silverman, Lee Unkrich","26862"
"171","Stanley Kubrick","135"
"172","Woody Allen","88"
"173","James Cameron","309"
"174","Paul Greengrass","59809"
"175","Victor Fleming","29738"
"176","Federico Fellini","337"
"177","Steven Spielberg","12789"
"178","Alan Mak, Wai Keung Lau","51123"
"179","Tate Taylor","176673"
"180","Wim Wenders","263"
"181","Barbara Albert","243823"
"182","Wong Kar-Wai","26389"
"183","Yves Boisset","126071"
"184","Rajkumar Hirani","234256"
"185","Darren Aronofsky","26602"
"186","Denis Villeneuve","179349"
"187","Ingmar Bergman","4397"
"188","Peter Weir","18671"
"189","Orson Welles","299"
"190","Harold Ramis","8066"
"191","Ron Howard","28384"
"192","Juan Antonio Bayona","228558"
"193","Patrick J. Exenat, Daouidar Saidali","261469"
"194","Frank Darabont","11736"
"195","Sidney Lumet","4063"
"196","Peter Jackson","27070"
"197","Akira Kurosawa","297"
"198","George Lucas","25801"
"199","Fernando Meirelles","45264"
"200","Santiago Otheguy","127650"
"201","Sergio Leone","2021"
"202","Charles Chaplin","2256"
"203","Martin Scorsese","55983"
"204","Ridley Scott","62"
"205","Billy Wilder","836"
"206","Giuseppe Tornatore","4989"
"207","Hayao Miyazaki","73176"
"208","Billy Wilder","4884"
"209","Sergio Leone","1941"
"210","Jean-Pierre Jeunet","27063"
"211","Stanley Kubrick","260"
"212","Stanley Kubrick","27442"
"213","Terry Jones, Terry Gilliam","248"
"214","Billy Wilder","2252"
"215","Steven Spielberg","5032"
"216","Joseph L. Mankiewicz","1596"
"217","Ça?an Irmak","111471"
"218","Pete Docter, Bob Peterson","130368"
"219","John Huston","7158"
"220","John McTiernan","4019"
"221","Carol Reed","1826"
"222","John Sturges","38827"
"223","Charles Chaplin","2260"
"224","David Lean","1602"
"225","Ingmar Bergman","548"
"226","Frank Capra","2640"
"227","Clyde Bruckman, Buster Keaton","108016"
"228","Alfred Hitchcock","700"
"229","M. Night Shyamalan","22092"
"230","Andreï Tarkovski","88396"
"231","Jim Sheridan","9430"
"232","Hayao Miyazaki, Tomoko Kida","40132"
"233","John Ford","1268"
"234","J.J. Abrams","215097"
"235","William Wyler","25308"
"236","Terry Gilliam","29757"
"237","Peter Weir","5280"
"238","Sidney Lumet","1621"
"239","Gore Verbinski","46117"
"240","Steven Spielberg","35973"
"241","Alfred Hitchcock","983"
"242","Steven Spielberg","8488"
"243","Quentin Tarantino","28541"
"244","Gillo Pontecorvo","89957"
"245","Jean Cocteau","772"
"246","Mathieu Kassovitz","12551"
"247","Florian Henckel von Donnersmarck","111643"
"248","Hayao Miyazaki","50409"
"249","Francis Ford Coppola","28201"
"250","Luc Besson","9684"
"251","Akira Kurosawa","773"
"252","Lenny Abrahamson","228263"
"253","David Fincher","13892"
"254","Guy Ritchie","26251"
"255","Rob Reiner","2495"
"256","Edgar Wright","108917"
"257","Stephen Chow","43986"
"258","Jack Lee Thompson","37412"
"259","Wolfgang Becker (II)","52715"
"260","Steven Spielberg","29718"
"261","Ben Stiller","15829"
"262","Martin Campbell","13665"
"263","Sergueï Mikhailovich Eisenstein, Grigori Aleksandrov","89979"
