"genreID","genre"
"1","Action"
"2","Animation"
"3","Arts Martiaux"
"4","Aventure"
"5","Biopic"
"6","Classique"
"7","Comédie"
"8","Comédie dramatique"
"9","Comédie musicale"
"10","Dessin animé"
"11","Divers"
"12","Documentaire"
"13","Drama"
"14","Drame"
"15","Epouvante-horreur"
"16","Erotique"
"17","Espionnage"
"18","Expérimental"
"19","Famille"
"20","Fantastique"
"21","Guerre"
"22","Historique"
"23","Judiciaire"
"24","Médical"
"25","Musical"
"26","Péplum"
"27","Policier"
"28","Romance"
"29","Science fiction"
"30","Soap"
"31","Sport event"
"32","Thriller"
"33","Websérie"
"34","Western"
